item,condition,critical_pos,critical_word,sentence
21,NPS_UAMB,7,achieved,The dancer knew that the ballet achieved incredible success for a small local production .
21,NPZ_UAMB,8,achieved,"Once the dancer began , the ballet achieved incredible success for a show with a new performer ."
21,MVRR_UAMB,8,achieved,The dancer who was assigned the ballet achieved incredible success for a new performer .
22,NPS_UAMB,7,became,The contestant revealed that the money became unavailable to him when the show\ 's budget shrank .
22,NPZ_UAMB,8,became,"After the contestant lost , the money became unavailable despite his previous three wins in a row ."
22,MVRR_UAMB,8,became,The contestant who was paid the money became unavailable and suddenly terminated his contract .
23,NPS_UAMB,8,separated,The new chef claimed that the restaurant separated mediocre cooks from gifted ones .
23,NPZ_UAMB,9,separated,"Once the new chef started , the restaurant separated mediocre cooks from gifted ones ."
23,MVRR_UAMB,9,separated,The new chef who was offered the restaurant separated mediocre cooks from gifted ones .
24,NPS_UAMB,8,produced,The apprentice baker discovered that the oven produced smaller cakes because it heated too fast .
24,NPZ_UAMB,9,produced,"When the apprentice baker worked , the oven produced smaller cakes because he lacked experience ."
24,MVRR_UAMB,9,produced,The apprentice baker who was assigned the oven produced smaller cakes because he lacked experience .
