item,condition,disambPositionUnamb,sentence
9,NPZ_UAMB,7,"After the guitarist began, the song failed dramatically because he skipped the sound check."
9,MVRR_UAMB,8,The guitarist who was assigned the song failed dramatically because he never practiced enough.
10,NPS_UAMB,7,The player revealed that the bonus remained essentially the same as in the original contract.
10,NPZ_UAMB,7,"Although the player lost, the bonus remained essentially the same as in the original contract."
10,MVRR_UAMB,8,The player who was paid the bonus remained essentially the same despite his sudden fame and wealth.
11,NPS_UAMB,8,The recent hire claimed that the job prepared many students for careers in media.
11,NPZ_UAMB,8,"Once the recent hire started, the job prepared many students for careers in media."
11,MVRR_UAMB,9,The recent hire who was offered the job prepared many students for careers in media.
12,NPS_UAMB,8,The assistant manager discovered that the training seemed unnecessarily demanding for new staff.
12,NPZ_UAMB,8,"While the assistant manager worked, the training seemed unnecessarily demanding to him."
12,MVRR_UAMB,9,The assistant manager who was assigned the training seemed unnecessarily demanding to new staff.
13,NPS_UAMB,7,The mayor showed that the document provided sufficient evidence to prove her innocence.
13,NPZ_UAMB,7,"Although the mayor changed, the document provided sufficient evidence for what he had promised."
13,MVRR_UAMB,8,The mayor who was sent the document provided sufficient evidence that it was simply blackmail.
14,NPS_UAMB,8,The basketball player mentioned that the contract created another controversy in the NBA.
14,NPZ_UAMB,8,"After the basketball player signed, the contract created another political controversy in the NBA."
14,MVRR_UAMB,9,The basketball player who was handed the contract created another controversy in the NBA.
15,NPS_UAMB,7,The engineer maintained that the equipment required constant supervision from senior technicians.
15,NPZ_UAMB,7,"After the engineer moved, the equipment required constant supervision from senior technicians."
15,MVRR_UAMB,8,The engineer who was brought the equipment required constant supervision from senior technicians.
16,NPS_UAMB,8,The little girl found that the lamb remained relatively calm despite the absence of its mother.
16,NPZ_UAMB,8,"When the little girl attacked, the lamb remained relatively calm despite the sudden assault."
16,MVRR_UAMB,9,The little girl who was fed the lamb remained relatively calm despite having asked for beef.
17,NPS_UAMB,8,The yoga instructor demonstrated that the position demanded immense physical effort from everyone.
17,NPZ_UAMB,8,"Before the yoga instructor left, the position demanded immense physical effort from everyone."
17,MVRR_UAMB,9,The yoga instructor who was offered the position demanded immense physical effort from everyone.
18,NPS_UAMB,7,The governor noticed that the contract received sweeping support across the entire state.
18,NPZ_UAMB,7,"While the governor read, the contract received sweeping support from the audience at the rally."
18,MVRR_UAMB,8,The governor who was awarded the contract received sweeping support across the entire state.
19,NPS_UAMB,7,The patient reported that the treatment continued causing uncomfortable side effects like nausea.
19,NPZ_UAMB,7,"Before the patient called, the treatment continued causing uncomfortable side effects like nausea."
19,MVRR_UAMB,8,The patient who was refused the treatment continued causing uncomfortable scenes in the ER.
20,NPS_UAMB,7,The operator observed that the machine started working efficiently all of a sudden.
20,NPZ_UAMB,7,"Once the operator stopped, the machine started working efficiently without any supervision."
20,MVRR_UAMB,8,The operator who was brought the machine started working efficiently with the added automation.
21,NPS_UAMB,7,The dancer knew that the ballet achieved incredible success for a small local production.
21,NPZ_UAMB,7,"Once the dancer began, the ballet achieved incredible success for a show with a new performer."
21,MVRR_UAMB,8,The dancer who was assigned the ballet achieved incredible success for a new performer.
22,NPS_UAMB,7,The contestant revealed that the money became unavailable to him when the show\'s budget shrank.
22,NPZ_UAMB,7,"After the contestant lost, the money became unavailable despite his previous three wins in a row."
22,MVRR_UAMB,8,The contestant who was paid the money became unavailable and suddenly terminated his contract.
23,NPS_UAMB,8,The new chef claimed that the restaurant separated mediocre cooks from gifted ones.
23,NPZ_UAMB,8,"Once the new chef started, the restaurant separated mediocre cooks from gifted ones."
23,MVRR_UAMB,9,The new chef who was offered the restaurant separated mediocre cooks from gifted ones.
24,NPS_UAMB,8,The apprentice baker discovered that the oven produced smaller cakes because it heated too fast.
24,NPZ_UAMB,8,"When the apprentice baker worked, the oven produced smaller cakes because he lacked experience."
24,MVRR_UAMB,9,The apprentice baker who was assigned the oven produced smaller cakes because he lacked experience.
